Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C13,RT,NA,9/16/13,2013,9,1,1,83,5.7,0,NA,NA,NA,1073,NA,2013,2013,C13,0,1073,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,86,6.1,0,NA,NA,NA,11023150,NA,2013,2013,C13,0,11023150,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,75,4.4,0,NA,NA,NA,1103,NA,2013,2013,C13,0,1103,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,87,6.8,0,NA,NA,NA,1104,NA,2013,2013,C13,0,1104,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,82,5.6,0,NA,NA,NA,11073182,NA,2013,2013,C13,0,11073182,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,91,7.6,0,NA,NA,NA,11113148,NA,2013,2013,C13,0,11113148,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,91,7.5,0,NA,NA,NA,11373127,NA,2013,2013,C13,0,11373127,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,75,4,0,NA,NA,NA,1138,NA,2013,2013,C13,0,1138,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,89,7.2,0,NA,NA,NA,11413118,NA,2013,2013,C13,0,11413118,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,77,4.3,0,NA,NA,NA,1142,NA,2013,2013,C13,0,1142,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,84,5.7,0,NA,NA,NA,1143,NA,2013,2013,C13,0,1143,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,77,5.1,0,NA,NA,NA,1144,NA,2013,2013,C13,0,1144,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,78,4.2,0,NA,NA,NA,1149,NA,2013,2013,C13,0,1149,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,80,4.8,0,NA,NA,NA,1150,NA,2013,2013,C13,0,1150,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,82,5.4,0,NA,NA,NA,1151,NA,2013,2013,C13,0,1151,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,93,8.3,0,NA,NA,NA,1152,NA,2013,2013,C13,0,1152,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,85,5.4,0,NA,NA,NA,1168,NA,2013,2013,C13,0,1168,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,91,7.2,0,NA,NA,NA,11693126,NA,2013,2013,C13,0,11693126,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,78,4.4,0,NA,NA,NA,1170,NA,2013,2013,C13,0,1170,LIdri,LIdri_RT,1
C13,RT,NA,9/16/13,2013,9,1,1,94,8.3,0,NA,NA,NA,1171,NA,2013,2013,C13,0,1171,LIdri,LIdri_RT,1
C09,RT,11802,6/14/10,2010,6,1,1,129,24,1,NA,NA,NA,NA,NA,2009,2009,C09,1,11802,LIdri,LIdri_RT,1
C09,RT,11802,9/22/10,2010,9,1,1,154,34,1,NA,NA,NA,R614,NA,2009,2009,C09,1,11802,LIdri,LIdri_RT,1
C09,RT,11805,6/14/10,2010,6,1,1,155,37,1,NA,NA,NA,NA,NA,2009,2009,C09,1,11805,LIdri,LIdri_RT,1
C09,RT,11805,9/22/10,2010,9,1,1,214,113,1,NA,NA,NA,R613,NA,2009,2009,C09,1,11805,LIdri,LIdri_RT,1
C09,RT,11808,6/14/10,2010,6,1,1,124,20,1,NA,1,NA,NA,NA,2009,2009,C09,1,11808,LIdri,LIdri_RT,1
C09,RT,11809,6/14/10,2010,6,1,1,133,26,1,NA,NA,NA,NA,NA,2009,2009,C09,1,11809,LIdri,LIdri_RT,1
C09,RT,11817,6/14/10,2010,6,1,1,129,23,1,NA,1,NA,NA,NA,2009,2009,C09,1,11817,LIdri,LIdri_RT,1
C09,RT,11818,6/14/10,2010,6,1,2,160,41,1,NA,NA,NA,NA,NA,2009,2009,C09,1,11818,LIdri,LIdri_RT,1
