Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Fin
1,8296,9/14/04,2004,9,1,1,170,50,2,C02,,,,
2,8281,9/14/04,2004,9,1,1,166,45.2,2,C02,,,,
3,8286,9/14/04,2004,9,1,1,225,106.6,2,C02,,,,
4,8282,9/14/04,2004,9,1,1,179,60.1,2,C02,,,,
5,8283,9/14/04,2004,9,1,1,205,91.3,2,C02,,,,
6,8274,9/14/04,2004,9,1,1,233,122.9,3,C01,,,,
7,8285,9/14/04,2004,9,1,1,171,51.4,2,C02,,,,
8,8267,9/14/04,2004,9,1,1,178,55,2,C02,,,,
9,8293,9/14/04,2004,9,1,1,248,103.9,2,C02,,,,snake like
10,8299,9/14/04,2004,9,1,1,246,176.7,3,C01,,,,
11,8231,9/14/04,2004,9,1,1,208,99.4,2,C02,,,,
12,8289,9/14/04,2004,9,1,1,203,87.2,2,C02,,,,
13,8268,9/14/04,2004,9,1,1,208,94.3,2,C02,,,,
14,8284,9/14/04,2004,9,1,1,165,45.4,2,C02,,,,
15,8210,9/14/04,2004,9,1,1,175,53.3,2,C02,,,,
16,8291,9/14/04,2004,9,1,1,194,76.5,2,C02,,,,
17,8275,9/14/04,2004,9,1,1,195,73.7,2,C02,,,,
18,8280,9/14/04,2004,9,1,1,165,42.5,1,C03,,,,
19,8290,9/14/04,2004,9,1,1,141,26.5,1,C03,,,,
20,8292,9/14/04,2004,9,1,1,171,46,2,C02,,,,
21,8288,9/14/04,2004,9,1,1,176,49.7,2,C02,,,,
22,8287,9/14/04,2004,9,1,1,175,50.5,2,C02,,,,
23,8273,9/14/04,2004,9,1,1,194,75.2,2,C02,,,,
24,8236,9/14/04,2004,9,1,1,153,33.9,2,C02,,,,
25,8260,9/14/04,2004,9,1,1,162,38.6,2,C02,,,,
26,8264,9/14/04,2004,9,1,1,142,29.8,1,C03,,,,
27,8263,9/14/04,2004,9,1,1,139,25,1,C03,,,,
28,8271,9/14/04,2004,9,1,1,152,32.4,2,C02,,,,
29,8257,9/14/04,2004,9,1,1,146,28.6,2,C02,,,,
30,8272,9/14/04,2004,9,1,1,154,35.6,2,C02,,,,
31,8298,9/14/04,2004,9,2,1,217,105.8,2,C02,,,,
32,8259,9/14/04,2004,9,2,1,177,57.3,2,C02,,,,
33,8279,9/14/04,2004,9,2,1,172,53.4,2,C02,,,,
34,8252,9/14/04,2004,9,2,1,155,38.8,1,C03,,,,
35,8251,9/14/04,2004,9,2,1,136,22.6,1,C03,,,,
36,8205,9/14/04,2004,9,1,2,186,68.3,2,C02,,,,
37,8253,9/14/04,2004,9,1,2,191,63.3,2,C02,,,,
38,8233,9/14/04,2004,9,1,2,178,48.6,2,C02,,,,
39,8230,9/14/04,2004,9,1,2,135,22.3,1,C03,,,,
40,8235,9/14/04,2004,9,1,2,125,19.6,1,C03,,,,
41,8246,9/14/04,2004,9,1,2,205,88.1,2,C02,,,,
42,8229,9/14/04,2004,9,1,2,196,77.9,2,C02,,,,
43,8225,9/14/04,2004,9,1,2,223,119.3,2,C02,,,,
44,8226,9/14/04,2004,9,1,2,205,86.7,2,C02,,,,
45,8224,9/14/04,2004,9,1,2,183,58.3,2,C02,,,,
46,8244,9/14/04,2004,9,1,2,172,48.5,2,C02,,,,
47,8227,9/14/04,2004,9,1,2,186,70.3,2,C02,,,,
48,8223,9/14/04,2004,9,1,2,164,40.1,2,C02,,,,
49,8232,9/14/04,2004,9,1,2,148,29.6,2,C02,,,,
50,8238,9/14/04,2004,9,1,2,175,53.3,1,C03,,,,
51,8239,9/14/04,2004,9,1,2,177,53.4,1,C03,,,,
52,8245,9/14/04,2004,9,1,2,172,53.2,2,C02,,,,
53,8237,9/14/04,2004,9,1,2,192,79.8,2,C02,,,,
54,8218,9/14/04,2004,9,1,2,220,97.7,2,C02,,,,
55,8234,9/14/04,2004,9,1,2,239,137.5,3,C01,,,,
56,8248,9/14/04,2004,9,1,2,199,74,2,C02,,,,
57,8240,9/14/04,2004,9,1,2,184,62.1,2,C02,,,,
58,8221,9/14/04,2004,9,1,2,195,69.6,2,C02,,,,
59,8243,9/14/04,2004,9,1,2,174,51.7,2,C02,,,,
60,8212,9/14/04,2004,9,1,2,192,69.8,2,C02,,,,
61,8247,9/14/04,2004,9,1,2,169,46.9,2,C02,,,,
62,8241,9/14/04,2004,9,1,2,152,32.1,2,C02,,,,
63,8256,9/14/04,2004,9,1,2,147,32,1,C03,,,,
64,8250,9/14/04,2004,9,1,2,178,57.7,2,C02,,,,
65,8258,9/14/04,2004,9,1,2,123,17.4,1,C03,,,,
66,8208,9/14/04,2004,9,1,2,143,27.1,1,C03,,,,
67,8242,9/14/04,2004,9,1,2,149,32.5,1,C03,,,,
68,8207,9/14/04,2004,9,1,2,137,26.2,1,C03,,,,
69,8249,9/14/04,2004,9,1,2,137,23.9,1,C03,,,,
70,8254,9/14/04,2004,9,1,2,175,52.7,2,C02,,,,
71,8277,9/14/04,2004,9,1,2,207,77.7,2,C02,,,,
72,8270,9/14/04,2004,9,1,2,253,167.8,3,C01,,,,
73,8295,9/14/04,2004,9,1,2,178,60.3,2,C02,,,,
74,8297,9/14/04,2004,9,1,2,224,113.2,2,C02,,,,
75,8278,9/14/04,2004,9,1,2,168,42.5,1,C03,,,,
76,8276,9/14/04,2004,9,1,2,196,74.7,2,C02,,,,
77,8265,9/14/04,2004,9,1,2,198,78.7,2,C02,,,,
78,8269,9/14/04,2004,9,1,2,137,28.2,1,C03,,,,
79,8294,9/14/04,2004,9,1,2,207,70.1,2,C02,,,,
80,8255,9/14/04,2004,9,1,2,213,94.2,2,C02,,,,
81,8262,9/14/04,2004,9,1,2,223,118.5,3,C01,,,,
82,8206,9/14/04,2004,9,1,2,182,58.1,2,C02,,,,
83,8220,9/14/04,2004,9,1,2,207,95.4,2,C02,,,,
84,8202,9/14/04,2004,9,1,2,154,35.5,1,C03,,,,
85,8266,9/14/04,2004,9,1,2,138,24.9,1,C03,,,,
86,8213,9/14/04,2004,9,1,2,224,106.6,3,C01,,,,
87,8214,9/14/04,2004,9,1,2,210,92.5,2,C02,,,,
88,8209,9/14/04,2004,9,1,2,224,110.9,2,C02,,,,
89,8228,9/14/04,2004,9,1,2,143,27.3,1,C03,,,,
90,8217,9/14/04,2004,9,1,2,118,16.7,1,C03,,,,
91,8204,9/14/04,2004,9,1,2,147,32.3,1,C03,,,,
92,8222,9/14/04,2004,9,1,2,174,49.7,2,C02,,,,
93,8219,9/14/04,2004,9,1,2,175,55.1,2,C02,,,,
94,8211,9/14/04,2004,9,1,2,186,56.4,2,C02,,,,
95,8215,9/14/04,2004,9,1,2,177,56.7,2,C02,,,,
96,8203,9/14/04,2004,9,1,2,195,70,2,C02,,,,
97,8216,9/14/04,2004,9,1,2,170,46.8,2,C02,,,,
98,8200,9/14/04,2004,9,1,2,141,26.7,1,C03,,,,
99,8201,9/14/04,2004,9,1,2,135,23.6,1,C03,,,,
100,8261,9/14/04,2004,9,1,2,198,71.4,2,C02,,,,
101,7998,9/14/04,2004,9,1,2,170,50,1,C03,,,,
102,7995,9/14/04,2004,9,1,2,216,100.4,2,C02,,,,
103,7997,9/14/04,2004,9,1,2,154,39.5,1,C03,,,,
104,7850,9/14/04,2004,9,1,2,149,33.6,1,C03,,,,
105,7899,9/14/04,2004,9,1,2,135,22.2,1,C03,,,,
106,7885,9/14/04,2004,9,1,2,154,33.7,1,C03,,,,
107,7868,9/14/04,2004,9,1,2,136,23.5,1,C03,,,,
108,7981,9/14/04,2004,9,1,2,132,21.8,1,C03,,,,
109,7843,9/14/04,2004,9,1,2,124,19.2,1,C03,,,,
110,7859,9/14/04,2004,9,1,2,130,20.7,1,C03,,,,
111,7847,9/14/04,2004,9,1,2,195,80.6,2,C02,,,,
112,7844,9/14/04,2004,9,1,2,119,17.5,1,C03,,,,
113,7852,9/14/04,2004,9,1,2,184,59.9,2,C02,,,,
114,7856,9/14/04,2004,9,1,2,139,29.7,1,C03,,,,
115,7854,9/14/04,2004,9,1,2,162,45.4,1,C03,,,,
116,7834,9/14/04,2004,9,1,2,167,48.8,2,C02,,,,
117,7855,9/14/04,2004,9,1,2,125,18.9,1,C03,,,,
118,7845,9/14/04,2004,9,1,2,126,19.2,1,C03,,,,
119,7983,9/14/04,2004,9,1,2,144,31.5,1,C03,,,,
120,7985,9/14/04,2004,9,1,2,121,17.3,1,C03,,,,
